id,followers_count,following_count,statuses_count,favourites_count,verified
u1217628182611927040,,,,,False
u2664730894,,,,,False
u1266703520205549568,,,,,False
u1089159225148882949,,,,,False
u36741729,,,,,False
u1365527332627247104,,,,,False
u1679822588,,,,,False
u1519144464,,,,,False
u15211869,,,,,True
u1309034737756000256,,,,,False
u1341789703633178624,,,,,False
u848975226,,,,,False
u1109809482656149504,,,,,False
u138814032,,,,,True
u457554412,,,,,True
u17899123,,,,,False
u2465283662,,,,,False
u1467973039883182090,,,,,False
u234059290,,,,,False
u1142890104853106688,,,,,False
u779266494270173187,,,,,False
u1275028426672549888,,,,,False
u284870222,,,,,False
u1280925874267787270,,,,,False
u2599121383,,,,,False
u912974971370115072,,,,,True
u1322906536029626368,,,,,False
u83389771,,,,,False
u129211757,,,,,False
u765845,,,,,True
u804075344,,,,,False
u935031277,,,,,False
u14788268,,,,,False
u3212706501,,,,,False
u2496941382,,,,,False
u21920591,,,,,False
u213809534,,,,,False
u2196860159,,,,,False
u1099603759259238400,,,,,False
u1213172638790512642,,,,,False
u177622514,,,,,False
u10129132,,,,,False
u1478784043105894403,,,,,False
u864305332075364352,,,,,False
u1293469199554285568,,,,,False
u1141322718559666176,,,,,False
u29458079,,,,,True
u3304925983,,,,,True
u229389391,,,,,False
u1475101296520830982,,,,,False
u1459787141928660998,,,,,False
u871016931213619200,,,,,False
u771758047412748288,,,,,False
u1482043516620525579,,,,,False
u933227158398386182,,,,,False
u49009937,,,,,False
u1360303708777635844,,,,,False
u1433818532215730176,,,,,False
u1484114013566943232,,,,,False
u196278935,,,,,False
u1457083371146915842,,,,,False
u731478516181565440,,,,,False
u383950602,,,,,False
u13439042,,,,,False
u1009495181882773506,,,,,False
u73710441,,,,,False
u542721191,,,,,True
u820367095120547841,,,,,False
u2337471864,,,,,False
u1074322006445883392,,,,,False
u73125667,,,,,False
u374208504,,,,,False
u1484088723730055170,,,,,False
u1331028521649537025,,,,,False
u1031077915188846594,,,,,False
u1162025098230095872,,,,,False
u98804784,,,,,False
u224965117,,,,,False
u35708687,,,,,False
u1290233331683008512,,,,,False
u20813318,,,,,False
u859714501331038208,,,,,False
u1009804608540200960,,,,,False
u1483049550764187648,,,,,False
u280747022,,,,,False
u1320503149816328192,,,,,False
u1438341642,,,,,False
u1360768923814264832,,,,,False
u1192861100804575234,,,,,False
u241877255,,,,,False
u58880930,,,,,False
u621310858,,,,,False
u86020763,,,,,False
u1353063402160099335,,,,,False
u15918780,,,,,False
u256644046,,,,,False
u1116393937449697280,,,,,False
u1076116243265060864,,,,,False
u1395509316753534987,,,,,False
u22396466,,,,,False
u1477208944833564672,,,,,False
u17393790,,,,,True
u832271187019444224,,,,,False
u816040326112706566,,,,,False
u1344562598776250369,,,,,False
u2939998182,,,,,True
u3082871337,,,,,False
u2502990367,,,,,False
u1484148791322320899,,,,,False
u310784514,,,,,False
u162535413,,,,,True
u1004440668763230210,,,,,False
u368644797,,,,,False
u2543789822,,,,,False
u13678962,,,,,True
u4939401,,,,,True
u1369074723896786948,,,,,False
u945957031323639808,,,,,False
u2244134066,,,,,False
u18890724,,,,,False
u118009649,,,,,False
u1863061536,,,,,False
u1268970866085441543,,,,,False
u242490547,,,,,False
u788533935886077952,,,,,False
u806609267985891328,,,,,False
u757327643826094080,,,,,False
u9604032,,,,,True
u887464432430850048,,,,,False
u16834046,,,,,True
u1231288602912489472,,,,,False
u735984245806661632,,,,,False
u1536500138,,,,,True
u2577886615,,,,,False
u1425141260256301059,,,,,False
u32699434,,,,,False
u2197224919,,,,,False
u4218360677,,,,,False
u1479824001207783432,,,,,False
u86091264,,,,,False
u38669987,,,,,False
u92922681,,,,,False
u1285628066346274817,,,,,False
u811408471652347904,,,,,False
u296153200,,,,,False
u28136504,,,,,False
u1189972333772955650,,,,,False
u826929286380658688,,,,,False
u1375867030755287042,,,,,False
u117406291,,,,,False
u781673283829788672,,,,,False
u305236970,,,,,True
u36876992,,,,,False
u14694914,,,,,False
u2182641,,,,,True
u3110562573,,,,,False
u1231601392139329536,,,,,False
u114820052,,,,,False
u2999992556,,,,,False
u114820838,,,,,False
u50343115,,,,,False
u3054361064,,,,,False
u158065720,,,,,True
u1256624907305103360,,,,,False
u1435411515230785540,,,,,False
u901231978766376961,,,,,False
u1232773000627396608,,,,,False
u1478744084500078593,,,,,False
u43194755,,,,,True
u1372879289050308610,,,,,False
u1468930296812871682,,,,,False
u1130741271478378496,,,,,False
u1484168083392634890,,,,,False
u633907829,,,,,False
u8724862,,,,,True
u285685293,,,,,False
u2793278536,,,,,False
u1484422589762387968,,,,,False
u1442379663452504064,,,,,False
u1052261717835751425,,,,,False
u3393521,,,,,True
u1480131215382433792,,,,,False
u75338122,,,,,False
u1215256234682650625,,,,,False
u370112958,,,,,False
u1055100119270522880,,,,,False
u2427885031,,,,,True
u2237311590,,,,,False
u2266573932,,,,,False
u1283463794837135360,,,,,False
u1030044999180853248,,,,,False
u1482603102545285120,,,,,False
u1371483467003785222,,,,,False
u1320832772848627714,,,,,False
u1226185906652155906,,,,,False
u18898143,,,,,False
u239060144,,,,,False
u400630125,,,,,False
u456274497,,,,,False
u1015681547415031808,,,,,False
u1086612410478268416,,,,,False
u1070942382986801153,,,,,False
u199369366,,,,,False
u837867651078610944,,,,,False
u57398614,,,,,True
u233160369,,,,,False
u940578188979253248,,,,,False
u1243354663933493249,,,,,False
u781982295863484456,,,,,False
u927837253,,,,,False
u1356705529528283136,,,,,False
u124745749,,,,,False
u1044979644183838720,,,,,False
u958405675998162944,,,,,False
u1484498142825431040,,,,,False
u1484243495283879936,,,,,False
u913284448686301184,,,,,False
u59001491,,,,,True
u907577359498338304,,,,,False
u180038665,,,,,False
u15143478,,,,,True
u811874704772501504,,,,,False
u25427470,,,,,True
u913302048564637696,,,,,False
u499161087,,,,,False
u48979419,,,,,False
u745294695220158464,,,,,False
u23886144,,,,,False
u2457027740,,,,,False
u22385548,,,,,False
u1273759306039558145,,,,,False
u1427838620170285058,,,,,False
u21846833,,,,,False
u1231773058899140610,,,,,False
u582280139,,,,,True
u2522772534,,,,,False
u1471529355851575305,,,,,False
u20441583,,,,,False
u449462207,,,,,True
u1350705206061744128,,,,,False
u1449450582771699714,,,,,False
u1584137959,,,,,False
u593658151,,,,,False
u1272211725362753537,,,,,False
u1338939176356556800,,,,,False
u69253605,,,,,False
u171960289,,,,,False
u1416005642570059783,,,,,False
u1291758490436812800,,,,,False
u1483915722459951110,,,,,False
u108472167,,,,,False
u156611885,,,,,False
u212256256,,,,,False
u17847135,,,,,False
u1482202453395263488,,,,,False
u15231287,,,,,True
u2654306088,,,,,False
u1126720880225075200,,,,,False
u1417952426687086593,,,,,False
u1394608272498364421,,,,,False
u1162412783771803649,,,,,False
u1380190106208890884,,,,,False
u1304578188614545409,,,,,False
u80179442,,,,,False
u1340683845935509504,,,,,False
u1254467707992510468,,,,,False
u1375112149157216258,,,,,False
u1271447460,,,,,False
u1240338965674233857,,,,,False
u1440863493062725635,,,,,False
u853411771184500737,,,,,False
u2308978435,,,,,False
u1453181291797622788,,,,,False
u90807518,,,,,False
u767892066,,,,,True
u1397114203601657857,,,,,False
u2383249662,,,,,False
u2656629811,,,,,False
u2173318130,,,,,False
u88403351,,,,,True
u765284398187089920,,,,,False
u184167912,,,,,False
u985020698,,,,,False
u109589477,,,,,True
u1402708270192730119,,,,,False
u15255245,,,,,False
u111724165,,,,,False
u546427546,,,,,False
u1195053067806429184,,,,,False
u53017384,,,,,False
u1004046048980013057,,,,,False
u54034504,,,,,False
u3397663229,,,,,False
u1448037218174443523,,,,,False
u178734121,,,,,False
u1371838131981447169,,,,,False
u2509381254,,,,,False
u2571330897,,,,,False
u1145412069866364928,,,,,False
u14986849,,,,,False
u2272426664,,,,,False
u36258301,,,,,False
u209472553,,,,,False
u1420688128986128384,,,,,False
u1431258714917462019,,,,,False
u1480543395558744069,,,,,False
u235751756,,,,,False
u18759465,,,,,True
u1034272792676421632,,,,,False
u4688688218,,,,,False
u140658895,,,,,False
u789891110,,,,,False
u1426751719896141825,,,,,False
u613173206,,,,,False
u107196001,,,,,False
u1213756290679238656,,,,,False
u1051795722,,,,,True
u2547648448,,,,,False
u907955678769065984,,,,,False
u2541047887,,,,,False
u559867489,,,,,False
u1031846051710418945,,,,,False
u2974453288,,,,,False
u175743717,,,,,False
u862157084795650048,,,,,False
u715841701005406208,,,,,False
u161913667,,,,,True
u1464604007968776195,,,,,False
u794801,,,,,False
u20571756,,,,,True
u856558342466097157,,,,,False
u1457945244700315650,,,,,False
u753165526566899713,,,,,True
